Seed,Variant,Accuracy,Precision,Recall,MacroF1,WeightedF1
42,A_Transformer,0.7500,0.7512,0.7497,0.7497,0.7496
42,B_Position,0.7517,0.7510,0.7512,0.7504,0.7510
42,C_SimpleStructure,0.7583,0.7600,0.7589,0.7582,0.7579
42,D_SpiderWeb,0.7617,0.7624,0.7612,0.7601,0.7601
42,E_RandomBias,0.7500,0.7508,0.7494,0.7486,0.7494
123,A_Transformer,0.7900,0.7884,0.7916,0.7879,0.7897
123,B_Position,0.8067,0.8052,0.8067,0.8041,0.8064
123,C_SimpleStructure,0.8033,0.8026,0.8061,0.8021,0.8033
123,D_SpiderWeb,0.8133,0.8138,0.8139,0.8118,0.8132
123,E_RandomBias,0.7683,0.7657,0.7684,0.7649,0.7687
2024,A_Transformer,0.8150,0.8143,0.8168,0.8140,0.8143
2024,B_Position,0.8183,0.8190,0.8199,0.8191,0.8182
2024,C_SimpleStructure,0.8300,0.8302,0.8320,0.8306,0.8298
2024,D_SpiderWeb,0.8433,0.8464,0.8431,0.8444,0.8434
2024,E_RandomBias,0.8067,0.8068,0.8077,0.8057,0.8065
3407,A_Transformer,0.7867,0.7892,0.7868,0.7867,0.7873
3407,B_Position,0.7983,0.7989,0.7988,0.7983,0.7986
3407,C_SimpleStructure,0.8083,0.8080,0.8082,0.8078,0.8083
3407,D_SpiderWeb,0.8167,0.8155,0.8161,0.8156,0.8165
3407,E_RandomBias,0.7767,0.7778,0.7775,0.7770,0.7771
9999,A_Transformer,0.7933,0.7936,0.7940,0.7916,0.7935
9999,B_Position,0.8083,0.8082,0.8089,0.8074,0.8084
9999,C_SimpleStructure,0.8000,0.7974,0.7987,0.7977,0.7997
9999,D_SpiderWeb,0.8050,0.8038,0.8034,0.8033,0.8049
9999,E_RandomBias,0.8050,0.8036,0.8033,0.8024,0.8056
