seed,variant,bias_mode,lambda,accuracy,precision,recall,macro_f1,weighted_f1,train_time_s,best_epoch_acc,final_epoch_acc,acc_short,f1_short,count_short,acc_medium,f1_medium,count_medium,acc_long,f1_long,count_long
42,A_Transformer,none,0.0,0.75,0.751183,0.749688,0.749671,0.749633,158.1,0.751667,0.75,0.75,0.745076,260,0.753049,0.752994,328,0.666667,0.55,12
42,B_Position,pos,0.5,0.751667,0.75104,0.751211,0.750382,0.75102,165.8,0.758333,0.751667,0.753846,0.747386,260,0.753049,0.751911,328,0.666667,0.55,12
42,C_SimpleStructure,simple,0.5,0.758333,0.759992,0.758935,0.758229,0.75789,158.6,0.76,0.758333,0.757692,0.753233,260,0.759146,0.758104,328,0.75,0.604167,12
42,D_SpiderWeb,full,0.5,0.761667,0.762379,0.761181,0.760098,0.760094,157.0,0.768333,0.761667,0.742308,0.736552,260,0.777439,0.776572,328,0.75,0.604167,12
42,E_RandomBias,full,0.5,0.75,0.750761,0.749357,0.748641,0.749417,162.8,0.748333,0.746667,0.738462,0.730527,260,0.762195,0.761675,328,0.666667,0.55,12
123,A_Transformer,none,0.0,0.79,0.788449,0.791635,0.787922,0.78969,130.0,0.8,0.79,0.807547,0.802775,265,0.780186,0.778017,323,0.666667,0.50625,12
123,B_Position,pos,0.5,0.806667,0.805234,0.806738,0.804101,0.806401,113.0,0.808333,0.806667,0.822642,0.818152,265,0.795666,0.793062,323,0.75,0.56875,12
123,C_SimpleStructure,simple,0.5,0.803333,0.802626,0.806134,0.80213,0.803262,107.6,0.815,0.803333,0.807547,0.804898,265,0.801858,0.799796,323,0.75,0.557143,12
123,D_SpiderWeb,full,0.5,0.813333,0.813791,0.813936,0.811845,0.81317,113.7,0.816667,0.813333,0.833962,0.832692,265,0.798762,0.794251,323,0.75,0.558333,12
123,E_RandomBias,full,0.5,0.768333,0.765704,0.768422,0.764884,0.768712,110.8,0.768333,0.768333,0.766038,0.76078,265,0.77709,0.773662,323,0.583333,0.495833,12
2024,A_Transformer,none,0.0,0.815,0.814307,0.816785,0.814027,0.814256,109.2,0.815,0.815,0.833887,0.831356,301,0.793103,0.78584,290,0.888889,0.541667,9
2024,B_Position,pos,0.5,0.818333,0.818986,0.819897,0.819081,0.818192,110.9,0.818333,0.818333,0.827243,0.826285,301,0.806897,0.801367,290,0.888889,0.541667,9
2024,C_SimpleStructure,simple,0.5,0.83,0.83018,0.831999,0.830627,0.829756,110.0,0.836667,0.83,0.830565,0.828297,301,0.827586,0.826075,290,0.888889,0.583333,9
2024,D_SpiderWeb,full,0.5,0.843333,0.84638,0.84312,0.84435,0.843369,111.4,0.843333,0.843333,0.860465,0.859552,301,0.824138,0.824353,290,0.888889,0.583333,9
2024,E_RandomBias,full,0.5,0.806667,0.806763,0.807657,0.80567,0.806519,112.6,0.811667,0.808333,0.813953,0.81306,301,0.803448,0.794476,290,0.666667,0.433333,9
3407,A_Transformer,none,0.0,0.786667,0.789242,0.78682,0.786676,0.787334,107.0,0.79,0.786667,0.793103,0.788612,290,0.78,0.776983,300,0.8,0.558333,10
3407,B_Position,pos,0.5,0.798333,0.798917,0.798824,0.798314,0.798601,109.5,0.806667,0.798333,0.806897,0.802209,290,0.79,0.788303,300,0.8,0.516667,10
3407,C_SimpleStructure,simple,0.5,0.808333,0.807977,0.808172,0.807812,0.808333,110.7,0.808333,0.808333,0.813793,0.80927,290,0.803333,0.801365,300,0.8,0.541667,10
3407,D_SpiderWeb,full,0.5,0.816667,0.815468,0.816059,0.815574,0.816522,111.1,0.818333,0.816667,0.82069,0.814942,290,0.813333,0.810122,300,0.8,0.541667,10
3407,E_RandomBias,full,0.5,0.776667,0.777799,0.777502,0.776976,0.777085,116.0,0.785,0.775,0.77931,0.775762,290,0.773333,0.770651,300,0.8,0.516667,10
9999,A_Transformer,none,0.0,0.793333,0.793558,0.793958,0.791553,0.793544,107.2,0.795,0.793333,0.792115,0.792099,279,0.792332,0.79034,313,0.875,0.683333,8
9999,B_Position,pos,0.5,0.808333,0.808157,0.808945,0.807417,0.808357,108.9,0.808333,0.808333,0.802867,0.804706,279,0.811502,0.808064,313,0.875,0.683333,8
9999,C_SimpleStructure,simple,0.5,0.8,0.797384,0.798665,0.797732,0.799692,110.2,0.801667,0.8,0.792115,0.790729,279,0.805112,0.801657,313,0.875,0.683333,8
9999,D_SpiderWeb,full,0.5,0.805,0.803806,0.803377,0.80325,0.804892,108.5,0.805,0.805,0.799283,0.799126,279,0.808307,0.806126,313,0.875,0.683333,8
9999,E_RandomBias,full,0.5,0.805,0.803634,0.803268,0.802436,0.805569,111.0,0.798333,0.793333,0.806452,0.80674,279,0.801917,0.798823,313,0.875,0.683333,8
